MHCII,Autofluo.,CD11b,CD64,CD161,Ly6G,CD3,CD19,CD11c
2.5108,0.66987,0.71997,0.71721,1.4467,0.52801,0.72923,3.1135,1.415
1.2309,0.94274,1.0364,0.8873,0.75116,1.3082,2.5065,1.4237,1.1373
0.59616,1.467,0.63522,2.1032,0.93238,1.1785,2.8141,1.2486,1.2624
1.8865,1.111,0.95998,0.87924,0.62681,1.0596,0.96011,3.0228,0.63111
2.0974,0.85769,0.57425,0.65532,1.2083,0.78533,0.74639,2.9865,1.0006
2.4459,0.99664,0.66801,1.0395,0.7489,0.45435,0.74508,3.2382,1.0322
2.4892,0.95248,0.81689,1.0621,1.3006,1.1329,0.60573,3.2524,0.72425
0.69,1.3231,0.58887,0.81547,0.98862,1.1153,2.5346,1.5033,0.88732
2.9666,1.4962,1.4405,0.35095,0.49512,0.77878,1.4535,3.312,1.218
2.5349,1.3117,0.82836,1.0472,0.57208,0.91268,1.3129,3.1401,0.47062
0.9289,1.3681,0.9834,0.87364,0.97946,1.0915,2.6484,1.3575,1.2837
2.3649,0.96851,0.71668,0.5478,1.5664,0.18869,0.096036,3.3019,1.1084
1.611,2.1692,1.9939,2.1067,1.8174,0.50669,1.1791,1.0933,1.9543
0.54563,1.5015,0.63007,1.1195,0.93664,0.98136,2.8393,1.3693,1.184
2.6639,1.5082,0.75379,0.49028,0.85212,0.72869,0.64665,3.5129,0.94281
2.5955,1.2883,1.4015,1.1714,0.98567,0.25615,0.95048,3.3056,1.2437
3.0086,1.6248,1.5115,0.18181,0.57567,1.28,1.2865,3.4861,0.024109
2.8636,1.27,1.1247,0.10931,0.47094,1.1061,0.4229,3.2542,0.79012
2.9261,1.1003,1.2064,0.75771,0.87043,0.54205,0.89575,3.1059,0.92124
1.09,0.92295,0.70915,0.97262,1.0842,0.61769,2.3645,1.5555,1.171
1.1222,0.90953,0.42524,0.90078,1.1214,0.69441,2.2663,1.2039,1.0219
2.082,1.0119,0.99931,1.1331,0.86573,1.0397,0.76175,3.2888,1.2404
