tsne_dim1,tsne_dim2,top_attribute_variance,top_attribute_values
16.567402,36.434155,7,1
-39.86663,-28.085892,6,6
-30.454733,-40.89807,1,6
-16.002718,10.777287,0,0
4.6772823,19.159603,3,5
5.226801,-8.051621,3,5
16.39135,8.649731,0,7
-31.25084,-42.516075,1,6
9.256803,3.6791813,2,8
-4.906792,16.19416,7,5
33.5701,26.002127,1,7
7.0171595,-2.1545255,3,0
21.904772,3.1866822,3,0
-45.007557,-21.994337,0,4
24.169579,-1.539033,7,7
37.082024,19.076351,4,1
18.099764,13.186242,5,7
-31.537766,-31.688683,1,6
6.6783204,2.0749266,8,3
51.90991,11.89807,7,0
-45.784283,-31.455807,6,6
30.62842,-9.750813,7,7
14.20096,10.608325,2,0
34.302933,21.197552,5,7
-31.937752,24.123491,2,2
-28.891481,34.30251,0,3
-1.8386726,20.295069,7,5
-47.33182,22.31611,1,8
6.084918,-4.8118253,1,5
16.60493,24.083294,1,0
-2.8915699,6.1815786,6,5
-19.820927,-42.304485,1,6
-11.253449,11.35479,0,0
-38.66555,-33.77604,2,6
-16.251383,-40.51035,0,6
21.650455,-12.361658,3,4
18.749723,-10.225766,5,7
47.577938,21.047564,0,4
-4.685589,26.041061,6,5
-29.482904,-21.750689,0,6
35.788113,-12.989711,1,4
-14.647392,-46.661015,7,3
18.552622,17.549538,3,0
-44.105007,24.822353,2,8
-18.04752,-46.603645,3,6
-5.937086,10.198349,6,7
-5.49232,15.963679,5,5
-36.271347,-45.05424,2,6
44.807835,2.0432873,0,4
3.7469332,-11.145018,3,3
-39.20355,-25.97356,2,6
29.901566,6.6056356,0,3
-18.36821,-13.156153,0,8
16.930239,-3.603564,0,1
9.029573,32.473785,2,7
-3.1058478,11.203529,0,0
-27.512962,36.16715,1,3
0.7683702,18.141106,5,7
-15.104231,5.38839,5,7
10.533707,-7.689505,8,3
9.595342,-5.1007485,4,3
-32.35898,-47.029324,0,6
27.337425,-4.427752,3,0
6.518345,16.71454,0,0
34.011005,-9.971076,0,4
-18.59145,-27.002317,0,6
-4.199508,-2.6134062,0,5
-15.360348,17.80844,3,0
1.7136372,13.18355,7,7
-26.400873,-39.628845,0,6
28.314266,-10.395216,0,7
-25.584446,-49.271694,3,6
3.9793892,-11.774986,3,3
44.823296,15.697194,1,4
29.338572,16.493433,1,0
35.013535,-12.883125,7,4
37.638233,-9.659974,0,4
-36.692047,-21.268564,0,6
-18.794601,-39.17701,7,6
32.124622,-14.75507,4,3
5.1546555,27.563627,7,5
30.380453,-8.661557,3,7
39.87442,5.2019343,4,4
-41.247154,-24.824049,0,6
21.642593,34.130325,7,0
-18.324715,-31.518345,4,6
49.460514,11.716164,8,0
-9.907459,2.4929223,7,7
-34.535618,22.318348,0,2
24.246931,2.7891152,7,7
-13.761117,12.256988,7,2
23.138908,21.006655,7,0
11.994563,-3.20207,5,3
-19.034225,-39.185364,7,6
-18.915102,-46.773083,8,6
47.726124,18.81023,0,0
12.349188,-0.68519074,2,7
33.002766,15.402358,6,0
6.2690926,23.164898,7,5
-1.9400395,13.685523,5,7
3.577857,7.296927,1,0
38.823105,17.808945,0,0
16.370937,13.214629,0,7
19.238108,-22.779692,3,5
41.4678,12.779623,0,7
-34.560238,-24.488407,6,6
-31.96715,-47.060005,6,6
-37.514156,-38.916805,4,6
-51.413845,0.5440616,4,4
-16.71387,-17.103928,3,1
-14.332466,14.003883,3,3
15.565153,34.173946,2,2
47.453297,11.163965,5,4
8.487415,0.030002192,7,0
20.881939,-8.392202,5,7
-26.195763,-47.027695,6,6
-10.345916,2.0083969,7,7
-2.5861676,-11.043444,0,5
5.332662,25.227495,4,5
-23.874817,-32.441566,1,6
21.749517,-5.6664433,3,1
-43.003834,-34.606495,0,6
17.7096,6.3784237,3,7
-32.513546,-47.479507,0,6
-27.556412,34.077305,6,3
-0.8391257,15.972604,2,7
41.34941,18.155462,0,4
-41.326317,29.387358,6,2
14.885728,3.9096158,0,7
18.310102,16.125683,8,7
22.95077,12.626402,6,7
-1.8116977,-9.647137,2,2
-17.10848,-32.71373,7,6
4.603643,18.986383,3,5
11.707024,2.9319527,5,7
15.113131,-6.8742604,1,4
-40.982376,-26.649427,4,6
-48.361626,-27.595726,2,6
50.445858,14.568524,3,4
16.61031,-7.9802375,6,5
-24.04287,-50.336628,5,6
-43.942245,25.317724,2,8
-49.80713,-4.7829027,0,4
47.11945,-0.07019648,0,4
-18.1245,8.616551,0,5
-18.097862,-18.925016,3,1
4.030175,20.870155,7,8
36.2376,8.891057,1,4
9.573972,-6.258244,6,3
17.485836,30.598688,2,0
-0.41383794,-9.500294,7,7
26.68333,-22.213135,2,7
-12.874846,14.211875,7,7
-1.0414702,-6.437,3,7
-22.391897,-26.331478,4,6
0.52056944,17.121595,0,7
12.802473,-1.2102027,2,7
-3.3009725,25.631416,6,5
18.414684,30.748032,3,0
-6.311744,8.71248,3,5
10.308081,16.801981,0,7
28.101616,-12.439699,0,3
48.768337,20.824446,0,1
49.838085,19.796846,5,4
5.963032,6.706829,0,7
13.581701,24.515491,6,0
52.112007,12.545649,2,4
17.233116,38.571716,3,0
-32.099762,-23.641356,0,6
28.773829,22.1713,4,0
1.7903204,-12.328819,0,7
-25.55164,-32.918983,5,6
-14.344436,22.347258,1,5
20.184443,5.0637918,7,7
-15.603146,-35.28231,8,6
-23.720884,-42.902,0,6
34.907413,-15.432998,0,2
-46.67618,22.953434,1,8
19.589886,2.3086853,8,0
15.521968,-3.4186149,7,1
-44.30337,23.23982,8,8
2.3832119,5.9619584,2,7
-38.63128,-41.70777,0,8
-37.444878,-37.89241,0,6
50.602615,14.401431,3,4
-36.13747,-45.01113,2,6
11.004072,27.646118,1,0
29.522924,-6.7307606,7,7
51.59751,19.842041,4,4
-22.678106,-20.679726,7,8
-34.400425,-25.047174,7,6
-7.0910187,12.10253,8,7
-45.073555,25.361544,8,8
13.913728,32.14843,0,0
-32.682045,14.765418,2,5
11.351318,26.323908,4,7
-30.25006,-30.309633,7,6
4.9037323,-18.663935,1,5
9.90972,35.32338,6,0
-33.153873,15.216064,6,5
17.019793,-21.163834,1,4
22.636038,13.842057,0,7
-44.401707,-32.171646,8,6
5.2570868,-0.8323614,0,5
-8.822286,5.704312,7,7
-6.782022,22.678268,4,5
-15.352045,6.9095683,3,3
39.828773,14.078618,5,0
43.615257,11.624833,0,2
-46.14903,25.194109,1,8
27.064861,-0.7706687,7,0
-14.263238,17.925594,8,5
53.877365,9.472804,0,4
-21.21411,-30.678127,6,6
-6.9301214,16.554546,4,5
41.921352,-3.017856,7,0
45.830368,13.522573,2,4
0.9238904,6.602118,1,3
29.657272,-15.783881,2,4
5.788165,-16.503063,4,5
-32.190723,-32.590843,4,6
41.266335,20.368645,2,4
14.021346,11.45589,6,0
-1.0790725,10.061615,3,7
-17.35577,-42.374683,7,6
20.72591,36.299706,1,7
30.887547,7.95537,5,3
-19.521852,-35.41506,2,6
2.9904473,-9.121262,0,5
20.772186,-0.5409194,2,7
8.816458,27.544777,3,5
41.91691,-2.9158707,7,0
-27.095036,-43.080338,1,6
34.23624,6.122141,2,4
21.638617,-14.018184,7,7
15.520592,0.13042773,7,0
-25.639671,-46.237133,6,6
-25.493963,-48.649883,3,6
-48.540005,25.619759,6,8
-21.920734,-34.374035,8,6
12.521681,5.3061924,7,7
42.486168,10.826897,0,7
18.332163,35.821667,0,7
-49.923073,-29.809511,7,6
33.6204,-14.355409,0,4
-41.47954,-27.659105,2,6
3.0291545,-3.9534445,4,5
-33.05573,-32.616188,6,6
8.290656,-17.052864,4,5
-50.943565,-3.3899562,3,4
-14.081499,-39.825954,1,6
25.613974,33.418835,6,0
-19.322708,-33.738403,5,6
-27.601124,-39.870823,3,6
33.23133,-2.5393057,7,4
-38.048195,-24.921911,3,6
3.6137712,9.832962,3,0
-31.568,-37.99219,0,6
9.908268,34.333996,5,0
12.52623,6.2802253,7,7
-13.489484,6.2229376,7,7
-44.179432,-25.712152,5,6
-50.853592,23.733173,0,8
-15.8817,-36.303043,8,6
0.39436492,2.0684476,7,5
-44.30201,28.22816,0,8
30.454573,-7.9726076,7,7
23.158546,23.241804,7,0
27.229145,-4.622351,3,0
0.15072764,4.3209205,5,7
-6.805949,14.141142,0,5
46.61714,15.271643,7,7
34.626015,5.603558,1,0
4.961254,-8.8762865,6,5
-24.481022,-40.09362,1,6
-4.346809,8.801848,5,5
-33.653404,-36.497013,8,6
-23.459536,-45.491226,0,6
-9.822527,7.865242,5,7
-5.0303507,1.1818497,2,5
22.584782,-1.8375453,6,7
-2.6750479,-0.69321537,6,5
29.973137,24.315588,7,4
-23.019175,-30.879211,3,6
-24.758795,-40.897953,1,6
